date,open_time,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,ema_50,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid
2020-07-30,1596067200000,317.76,342.0,314.05,334.87,1008827.56698,267.444,246.73239999999998,207.09994999999998,279.3702405850496,253.7055659107709,83.84932737353198,23.558581775986795,15.659280942647413,7.899300833339382,338.7135203855993,196.17447961440075,267.444
2020-07-31,1596153600000,334.82,349.45,328.4,346.33,948088.44982,272.801,249.0488,208.11370000000002,285.7473605293306,257.33789665936814,85.58878953911616,25.890291957415286,17.705483145600986,8.1848088118143,350.5795139739338,195.02248602606616,272.801
2020-08-01,1596240000000,346.32,392.67,343.07,387.0,1440843.34203,280.01149999999996,252.03779999999998,209.22050000000002,295.3904690503467,262.4226850256674,89.79102752312778,30.66641484078616,20.29766948463802,10.368745356148139,370.9492935238892,189.07370647611071,280.01149999999996
2020-08-02,1596326400000,387.01,415.85,325.0,372.42,2324909.09616,286.65749999999997,254.724,210.25060000000002,302.7266148550756,266.7363052207393,80.70547738977552,32.89583972273442,22.817303532257302,10.07853619047712,383.984962080307,189.33003791969296,286.65749999999997
2020-08-03,1596412800000,372.45,398.0,366.5,385.94,1191565.09389,293.9325,257.80740000000003,211.35925,310.65169915459217,271.4109599179652,82.47619960674169,35.34617728297616,25.323078282401077,10.02309900057508,397.88019778592354,189.98480221407647,293.9325
2020-08-04,1596499200000,385.91,402.98,380.77,389.61,1180792.42379,301.4825,260.9824,212.45805000000001,318.1715373303453,276.0462163917705,82.93404726087965,37.15591551640796,27.689645729202454,9.466269787205505,410.0911316781212,192.8738683218788,301.4825
2020-08-05,1596585600000,389.59,407.0,384.11,400.72,1124119.0672,309.84,264.2908,213.59094999999996,326.0332956798362,280.93538437640694,84.27358543233471,39.03664016634559,29.959044616631083,9.077595549714509,421.92763714163084,197.7523628583691,309.84
2020-08-06,1596672000000,400.72,403.66,390.51,394.77,821379.08397,317.945,267.5098,214.73085000000003,332.57964847223275,285.3994869498812,80.62373507193846,39.59063651411623,31.885362996128116,7.705273517988111,429.9827324832755,205.90726751672446,317.945
2020-08-07,1596758400000,394.77,398.26,362.85,379.34,1041207.35946,325.1285,270.4712,215.79319999999998,337.033015284401,289.0834286381211,71.92426740112619,38.34262070095514,33.17681453709352,5.1658061638616175,433.5078194802131,216.74918051978688,325.1285
2020-08-08,1596844800000,379.34,397.05,375.79,397.03,623029.78053,333.0245,273.8318,216.9309,342.7470138287438,293.3166275150576,75.22486369257473,38.33904568265558,34.20926076620594,4.129784916449644,438.14737238747904,227.90162761252094,333.0245
2020-08-09,1596931200000,397.05,400.0,383.36,390.14,594900.58133,340.731,277.05679999999995,218.04125,347.26063155933963,297.1136225144671,71.68981933063795,37.34970291125103,34.837349195214955,2.512353716036074,438.625489916411,242.83651008358896,340.731
2020-08-10,1597017600000,390.14,399.18,385.13,395.44,826969.90633,348.2235,280.4048,219.2044,351.84914283940253,300.9695588864488,72.75061442802593,36.571731191076594,35.184225594387286,1.3875055966893086,438.4844211729772,257.9625788270228,348.2235
